Tahap;Nama Blok;Tipe;Nomor Rumah;Luas Bangunan;Luas Tanah;Jumlah Kamar Mandi;Jumlah Kamar Tidur;Posisi Kavling;Smart Door Lock;Harga KPR
Tahap 3;Ruby A;67/112;001;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;002;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;003;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;004;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;005;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;006;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;007;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;008;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;009;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;010;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;011;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby A;67/112;012;67;112;2;3;Standard;Ya;711000000
Tahap 3;Ruby B;67/112;001;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;002;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;003;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;004;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;005;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;006;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;007;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;008;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;009;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;010;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;011;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;012;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;013;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby B;67/112;014;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;001;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;002;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;003;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;004;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;005;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;006;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;007;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;008;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;009;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;010;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;011;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;012;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;013;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;014;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;015;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;016;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;017;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby C;67/112;018;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;001;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;002;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;003;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;004;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;005;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;006;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;007;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;008;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;009;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;010;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;011;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;012;67;112;2;3;Standard;Ya;698500000
Tahap 3;Ruby D;67/112;013;67;112;2;3;Standard;Ya;698500000
